Q1,Q5_2A1,Q5_2A2,Q5_2A3,Q9_2A1,Q9_2A2,Q9_2A3,Q10_1B1,Q10_1B2,Q10_1B3,Q10_1B4,Q10_1B5,Q10_1B6,Q10_1B7,Q10_1B8,Q10_1B9,Q10_1B10,Q10_1B11,Q10_1B12,Q10_1B13,Q10_1B14,Q10_1B15,Q10_1B16,Q10_1B17,Q10_2A1,Q10_2A2,Q10_2A3,Q14_1T,CQ14_2_1,CQ14_2_2,CQ14_2_3,CQ14_2_4,CQ14_2_5,CQ14_2_6,CQ14_2_7,ID,D_MON,D_COU1,D_GEN,D_AGE,D_Q5_1,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A10,Q15_2A12,Q16,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q14_2_10,D_YEAR
1.0,1.0,2.0,4.0,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,강남역,종로/청계,동대문 패션타운,3076.32,5.0,,5.0,4.0,2.0,1.0,1.0,1.0,1.0,13.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,1.0,,,,,1.0,2018-01
1.0,3.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,,697.84,2.0,,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,,2.0,,,,2.0,2018-02
6.0,5.0,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,,,1152.9,1.0,,5.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,1.0,,,,,2.0,2018-03
3.0,1.0,2.0,5.0,1.0,2.0,9.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,,1112.8974999999998,2.0,,5.0,4.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,3.0,,,2.0,2018-05
1.0,6.0,,,5.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,잠실,명동/남대문/북창,신촌/홍대주변,631.6700000000001,2.0,,4.0,4.0,1.0,1.0,1.0,1.0,8.0,2.0,2.0,2.0,1.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,1.0,,,,,1.0,2018-08
5.0,,,,5.0,2.0,5.0,1.0,2.0,,4.0,,,,8.0,,,,,,,,,,가평 (자라섬/쁘띠프랑스/아침고요 수목원),에버랜드,포천 (허브 아일랜드),1461.9999999999998,3.0,,5.0,4.0,2.0,1.0,4.0,1.0,9.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,,,,,3.0,2018-09
4.0,,,,11.0,,,1.0,,,,,,,,,,,,,,,,,강남역,,,603.1999999999999,3.0,,1.0,4.0,1.0,1.0,1.0,2.0,1.0,13.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,0.0,0.0,4.0,4.0,3.0,0.0,2.0,1.0,,,,,1.0,2018-01
2.0,1.0,2.0,13.0,1.0,2.0,8.0,1.0,,,,,,,,,,,,,,,,,잠실,명동/남대문/북창,신촌/홍대주변,1466.6666666666667,3.0,,5.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,,2.0,,,,1.0,2018-02
2.0,,,,2.0,1.0,14.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,,1575.0,1.0,,5.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,1.0,,,,,1.0,2018-03
1.0,1.0,3.0,2.0,2.0,10.0,8.0,1.0,,,4.0,,,,8.0,,,,,,,,,,에버랜드,동대문 패션타운,명동/남대문/북창,1142.4,,3.0,5.0,3.0,1.0,1.0,1.0,2.0,6.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,,3.0,,,1.0,2018-06
